MODE,FRAME,YAW,PITCH,ROLL,YAWm,PITCHm,ROLLm,AX,AY,AZ,GX,GY,GZ,MX,MY,MZ,TEMP_F,FRAME_TIME_S,FRAME_TIME_MS,FRAME_TIME_US,INT_TIME_S,INT_TIME_MS,INT_TIME_US
RUN MODE,113,-164.28688,2.74029,0.04305,0,0,0,-0.05415,0.00815,0.99814,3.28244,2.7313,0.29008,614.35156,3592.96875,3334.78906,78.9081,0,3,600,0,29,999
RUN MODE,114,-164.28531,2.83772,0.18785,0,0,0,-0.05728,0.01313,0.99385,3.77405,3.22901,0.32366,605.00781,3602.34375,3352.85156,78.9081,0,3,550,0,29,998
RUN MODE,115,-164.28296,2.95498,0.29982,0,0,0,-0.05986,0.0147,0.99023,3.87634,3.45191,0.31603,605.00781,3607.03125,3370.91406,78.91457,0,3,473,0,29,997
RUN MODE,116,-164.28047,3.0603,0.39568,0,0,0,-0.06177,0.01602,0.99351,3.80916,3.4855,0.30534,598,3600,3364.14062,78.91564,0,3,430,0,30,1
RUN MODE,117,-164.27962,3.22545,0.51393,0,0,0,-0.06548,0.01831,0.99307,3.75267,3.43206,0.30076,590.99219,3621.09375,3388.97681,78.91133,0,3,639,0,29,999
RUN MODE,118,-164.2818,3.3255,0.69194,0,0,0,-0.06548,0.02168,0.98921,3.45038,3.21527,0.30076,581.64844,3625.78125,3393.49219,78.91133,0,3,696,0,30,14
RUN MODE,119,-164.27963,3.43932,0.79158,0,0,0,-0.06704,0.02124,0.98965,2.99237,2.88092,0.27481,581.64844,3621.09375,3361.88257,78.91349,0,3,473,0,29,988
RUN MODE,120,-164.27707,3.48442,0.87923,0,0,0,-0.06626,0.02183,0.99243,2.59084,2.55878,0.25344,583.98438,3614.0625,3341.5625,78.91241,0,3,538,0,29,993
RUN MODE,121,-164.27711,3.57822,0.98416,0,0,0,-0.06797,0.02324,0.99004,2.27786,2.28244,0.21221,579.3125,3642.1875,3368.65625,78.91457,0,3,464,0,30,1
RUN MODE,122,-164.27727,3.65101,1.08583,0,0,0,-0.06851,0.02437,0.99038,1.98015,2.07481,0.19389,588.65625,3628.125,3364.14062,78.91888,0,3,439,0,29,997
RUN MODE,123,-164.27402,3.71935,1.11166,0,0,0,-0.06943,0.0231,0.99248,1.7084,1.90687,0.15573,614.35156,3639.84375,3348.33594,78.91888,0,3,476,0,29,999
RUN MODE,124,-164.27394,3.8066,1.15701,0,0,0,-0.07119,0.02388,0.99409,1.52977,1.81374,0.11603,623.69531,3653.90625,3357.36719,78.91673,0,3,429,0,30,1
RUN MODE,125,-164.27206,3.93292,1.16061,0,0,0,-0.07393,0.023,0.9936,1.40305,1.78015,0.09313,619.02344,3672.65625,3352.85156,78.91564,0,3,424,0,29,996
RUN MODE,126,-164.26892,4.01777,1.1548,0,0,0,-0.07446,0.02236,0.9917,1.23206,1.71756,0.09618,609.67969,3663.28125,3330.27344,78.91133,0,3,428,0,29,998
RUN MODE,127,-164.26802,4.0824,1.18008,0,0,0,-0.07505,0.02295,0.99351,1.03359,1.54198,0.08702,598,3660.9375,3323.5,78.91026,0,3,544,0,29,998
RUN MODE,128,-164.27205,4.17443,1.27544,0,0,0,-0.07632,0.02524,0.99092,0.81985,1.24885,0.08092,581.64844,3663.28125,3330.27344,78.91026,0,3,400,0,30,1
RUN MODE,129,-164.27168,4.2159,1.3132,0,0,0,-0.07559,0.02446,0.99141,0.55878,0.91145,0.07328,579.3125,3660.9375,3346.07812,78.91026,0,3,412,0,29,998
